model,dataset,fpr,tpr,threshold
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.018889524899828276,0.10688140556368961,0.6579191463357481
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.018889524899828276,0.10980966325036604,0.657076564576317
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.02003434459072696,0.10980966325036604,0.6565443142266418
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.021179164281625643,0.10980966325036604,0.6548009703266386
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.021751574127074985,0.10980966325036604,0.6525171482360527
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.021751574127074985,0.11127379209370425,0.652222129748604
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.022323983972524327,0.11273792093704246,0.6508385106572775
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.02346880366342301,0.11273792093704246,0.6470663435184713
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.024041213508872353,0.11420204978038068,0.6440254946081121
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.024041213508872353,0.1171303074670571,0.6397840326021967
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.025186033199771037,0.1171303074670571,0.6366649353665118
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.025186033199771037,0.11859443631039532,0.6358424002278222
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.02575844304522038,0.11859443631039532,0.6354314147836316
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.02575844304522038,0.12298682284040996,0.6307683622013023
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.02633085289066972,0.12298682284040996,0.6298615316690636
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.02633085289066972,0.1259150805270864,0.6291741554233627
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.027475672581568404,0.1259150805270864,0.6255454806621982
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.027475672581568404,0.1273792093704246,0.6246318320241042
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.028620492272467088,0.1273792093704246,0.6227667225604427
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.028620492272467088,0.12884333821376281,0.6204072131975268
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.02919290211791643,0.12884333821376281,0.6178791732135129
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.02919290211791643,0.13030746705710103,0.6168071805750452
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03033772180881511,0.13030746705710103,0.6157948510894435
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03033772180881511,0.13323572474377746,0.6153265007629073
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.030910131654264452,0.13323572474377746,0.6151733578636582
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.030910131654264452,0.13469985358711567,0.613462872358215
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03205495134516314,0.13469985358711567,0.6112137600679712
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03205495134516314,0.13616398243045388,0.6107322444735059
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03262736119061248,0.13616398243045388,0.6106020657577124
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03262736119061248,0.1376281112737921,0.6099467699495988
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03434459072696051,0.1376281112737921,0.6075613126005183
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03434459072696051,0.14202049780380674,0.60352975091597
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.034917000572409845,0.14202049780380674,0.6034861665648621
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.034917000572409845,0.14348462664714495,0.6031885501628687
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03663423010875787,0.14348462664714495,0.5983078792550257
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03720663995420721,0.14494875549048317,0.5978954613176756
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03720663995420721,0.14641288433382138,0.5971318009857497
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03777904979965655,0.14641288433382138,0.5964257841632357
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.03777904979965655,0.1478770131771596,0.5960703554672773
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0383514596451059,0.1478770131771596,0.5959536270968705
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0383514596451059,0.15226939970717424,0.5943731505384366
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04006868918145392,0.15226939970717424,0.5918834560062092
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04006868918145392,0.1595900439238653,0.5889535380128174
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0412135088723526,0.1595900439238653,0.5863621014504221
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04178591871780195,0.16105417276720352,0.5862569811749967
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04235832856325129,0.16105417276720352,0.5859724204975696
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04235832856325129,0.16398243045387995,0.5817741909262962
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04350314825414997,0.16398243045387995,0.5798068254074914
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04350314825414997,0.1698389458272328,0.5779093637006609
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.044075558099599316,0.1698389458272328,0.5778111147193177
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.044075558099599316,0.17276720351390923,0.5743873247181959
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.044647967945048654,0.17276720351390923,0.5742990284915823
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.044647967945048654,0.17715959004392387,0.5710369758960425
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.045220377790498,0.17715959004392387,0.5709302340911961
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.045220377790498,0.17862371888726208,0.5695373420165634
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.04579278763594734,0.17862371888726208,0.567617862967856
