model,dataset,precision,recall,threshold
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29293809938971227,0.9838945827232797,0.1741770057172924
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29332169358358795,0.9838945827232797,0.1745465518149436
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2934497816593886,0.9838945827232797,0.1745513031202882
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2931411096548711,0.9824304538799414,0.1746148853140054
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2932692307692308,0.9824304538799414,0.1748277763702904
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2933974639265413,0.9824304538799414,0.1750744324575074
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29352580927384075,0.9824304538799414,0.1764218567230183
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2936542669584245,0.9824304538799414,0.1769914495359931
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2942982456140351,0.9824304538799414,0.1781667731238631
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29442738043001315,0.9824304538799414,0.1791975780576204
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29455662862159787,0.9824304538799414,0.1794133632310322
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2946859903381642,0.9824304538799414,0.1804528001359338
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29437609841827767,0.9809663250366032,0.1823243569811597
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2941952506596306,0.9795021961932651,0.1827997001439684
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2943246810382754,0.9795021961932651,0.182917371299376
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2944542253521127,0.9795021961932651,0.1830620568616096
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29458388375165123,0.9795021961932651,0.1832403860443947
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29427312775330394,0.9780380673499268,0.1849091538646455
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29440282062582634,0.9780380673499268,0.1858412641605822
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2945326278659612,0.9780380673499268,0.1861864281555879
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.294351279788173,0.9765739385065886,0.1875860057222233
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29403973509933773,0.9751098096632503,0.1883649132029649
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29372791519434627,0.9736456808199122,0.1895383072474903
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2938577110030932,0.9736456808199122,0.1895651944892241
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29398762157382846,0.9736456808199122,0.1897921217212155
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2942477876106195,0.9736456808199122,0.1901479211059893
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29437804338202744,0.9736456808199122,0.1908459849321583
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2946389011962782,0.9736456808199122,0.1925703069787276
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2950310559006211,0.9736456808199122,0.1927263711014734
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.29516200621393696,0.9736456808199122,0.1936870224667551
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.2952930728241563,0.9736456808199122,0.1953868543250352
